id,domain,old_code,proposed_code,new_code,source,reviewer_verdict,drafter_why,reviewer_reason,misconception
488,2,FCLE,SS.7.CG.3.5,SS.7.CG.3.5,draft+review-confirmed,CONFIRM,Explains the amendment process outlined in Article V.,Relates to the amendment ratification process.,The Twenty-Seventh Amendment proves that amendments can be ratified centuries after being proposed without any time limit.
489,2,FCLE,SS.7.CG.3.5,SS.7.CG.3.5,draft+review-confirmed,CONFIRM,Explains the amendment process outlined in Article V.,Relates to the Article V amendment process.,State conventions for ratifying amendments are just informal advisory bodies with no real legal authority.
490,2,FCLE,SS.7.CG.3.9,SS.7.CG.2.3,reviewer-accepted,DISPUTE-then-replacement,Explains judicial branch function of incorporation.,Relates to the application of Bill of Rights.,"The Bill of Rights originally applied to all government actions — federal, state, and local — from the beginning."
491,2,FCLE,SS.7.CG.3.9,SS.7.CG.2.3,reviewer-accepted,DISPUTE-then-replacement,Explains judicial branch interpretation of the Second Amendment.,Relates to interpreting specific amendment rights.,The Second Amendment's right to bear arms has always been interpreted as an individual right unrelated to militia service.
492,2,FCLE,SS.7.CG.3.9,SS.7.CG.2.3,reviewer-accepted,DISPUTE-then-replacement,Explains judicial branch interpretation of the Establishment Clause.,Relates to the application of the Bill of Rights.,The Establishment Clause requires strict separation of all religious expression from public life.
493,2,FCLE,SS.7.CG.3.9,SS.7.CG.2.3,reviewer-accepted,DISPUTE-then-replacement,Explains judicial branch use of the Ninth Amendment.,Relates to the application of the Bill of Rights.,The Ninth Amendment is a meaningless catch-all with no practical legal effect on constitutional interpretation.
494,2,FCLE,SS.7.CG.3.9,SS.7.CG.2.3,reviewer-accepted,DISPUTE-then-replacement,Explains judicial branch development of the incorporation doctrine.,Relates to the application of the Bill of Rights.,The incorporation doctrine was established immediately after the Fourteenth Amendment was ratified in 1868.
495,2,FCLE,SS.7.CG.1.9,SS.7.CG.1.9,draft+review-confirmed,CONFIRM,Focuses on limits of power via 10th Amendment and federalism.,Relates to constitutional limits on government power.,The Tenth Amendment to the Bill of Rights is the most litigated amendment because it protects broad state sovereignty.
496,2,FCLE,SS.7.CG.3.2,SS.7.CG.3.2,reviewer-accepted,DISPUTE-then-replacement,Discusses federalism and state sovereignty vs national unity.,"Focuses on federalism, not specific state constitution content.",State constitutions are basically simplified copies of the US Constitution with the same structure and rights.
497,2,FCLE,SS.7.CG.3.2,SS.7.CG.3.13,reviewer-accepted,DISPUTE-then-replacement,Addresses state sovereignty and local government limits.,Relates to local government authority and structure.,Home rule gives local governments constitutional autonomy independent of state control.
498,2,FCLE,SS.7.CG.3.9,SS.7.CG.3.9,draft+review-confirmed,CONFIRM,Focuses on judicial branch authority and state/federal court roles.,Relates to the functions of the judicial branch.,State supreme courts must follow US Supreme Court precedent on matters of state constitutional law.
499,2,FCLE,SS.7.CG.3.2,SS.7.CG.3.13,reviewer-accepted,DISPUTE-then-replacement,Relates to federalism and state control over local governments.,Relates to local government structure and authority.,City charters function the same way as state constitutions and provide the same level of governmental authority.
500,2,FCLE,SS.7.CG.3.2,SS.7.CG.3.2,reviewer-accepted,DISPUTE-then-replacement,Discusses federal supremacy and state cooperation in federalism.,Relates to federalism and state interactions.,Interstate compacts are unconstitutional agreements between states that violate federal supremacy.
501,2,FCLE,SS.7.CG.3.8,SS.7.CG.3.8,draft+review-confirmed,CONFIRM,Clarifies executive branch structure and lack of fourth branch.,Relates to executive branch structure and functions.,The federal bureaucracy is a fourth branch of government with its own constitutional foundation.
502,2,FCLE,SS.7.CG.3.8,SS.7.CG.3.8,draft+review-confirmed,CONFIRM,Explains executive branch structure and independent agency functions.,Relates to executive branch agencies and control.,Independent regulatory agencies like the FCC and SEC are fully controlled by the president because they are part of the executive branch.
503,2,FCLE,SS.7.CG.3.9,SS.7.CG.3.9,draft+review-confirmed,CONFIRM,Distinguishes judicial branch roles from administrative law judges.,Relates to judicial functions and branch structure.,Administrative law judges (ALJs) are regular federal judges appointed under Article III of the Constitution.
504,2,FCLE,SS.7.CG.3.8,SS.7.CG.3.8,reviewer-accepted,DISPUTE-then-replacement,Describes executive branch processes and informal political relationships.,"Relates to executive branch interactions, not structure.","Iron triangles — the alliance between agencies, interest groups, and congressional committees — are formally established in the Constitution."
505,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,"Traces founding ideas on law, government, and social contract.",Relates to founding principles and social contract.,Declaration establishes Hobbesian social contract surrendering all rights to sovereign
506,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Traces principles underlying America's founding ideas on law.,Relates to founding principles and Enlightenment ideas.,Jefferson invented entirely original philosophical arguments in the Declaration
507,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Traces founding ideas distinguishing Declaration from governing charter.,Relates to the nature of founding documents.,The Declaration functioned as a governing charter establishing American institutions
508,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Traces founding ideas on law and government grievances.,Relates to principles in the Declaration.,The grievances against George III were purely emotional rhetoric without legal basis
509,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Traces principles underlying America's founding ideas on law.,Relates to Enlightenment principles in founding documents.,Self-evident truths require no philosophical reasoning to understand
510,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Traces principles underlying America's founding ideas on law.,Relates to Lockean principles in founding documents.,"Locke's influence on Declaration limited to 'life, liberty, pursuit of happiness'"
511,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Traces principles underlying America's founding ideas on law.,Relates to founding principles of consent.,Consent of the governed means direct democracy requiring every citizen's vote
512,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Traces principles underlying America's founding ideas on law.,Relates to founding principles and traditions.,Declaration completely rejected British political tradition and philosophy
513,3,FCLE,SS.7.CG.1.7,SS.7.CG.1.7,draft+review-confirmed,CONFIRM,Explains how Articles' weaknesses led to Constitution.,Relates to the Articles of Confederation's weaknesses.,The Articles' weakness was an accidental drafting flaw
514,3,FCLE,SS.7.CG.1.7,SS.7.CG.1.7,draft+review-confirmed,CONFIRM,Explains how Articles' weaknesses led to Constitution.,Relates to the Articles of Confederation's legacy.,The Articles achieved nothing of lasting significance
515,3,FCLE,SS.7.CG.1.7,SS.7.CG.1.7,draft+review-confirmed,CONFIRM,Highlights structural flaw of Articles lacking enforcement power.,Directly addresses structural weaknesses of the Articles.,States ignored requisitions simply out of laziness
516,3,FCLE,SS.7.CG.1.7,SS.7.CG.1.7,draft+review-confirmed,CONFIRM,Explains deliberate absence of executive branch in Articles.,Relates to structural weaknesses of the Articles.,The Articles lacked an executive branch by oversight
517,3,FCLE,SS.7.CG.1.7,SS.7.CG.1.7,draft+review-confirmed,CONFIRM,Describes economic failure of Articles requisition system.,Relates to economic weaknesses of the Articles.,The requisition system effectively funded national government
518,3,FCLE,SS.7.CG.1.7,SS.7.CG.1.7,draft+review-confirmed,CONFIRM,Shows Articles inability to enforce foreign policy treaties.,Relates to foreign policy weaknesses of the Articles.,The Articles successfully managed foreign policy
519,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,reviewer-accepted,DISPUTE-then-replacement,Connects Northwest Ordinance principles to founding ideas.,Northwest Ordinance is not a founding principle of law/government.,The Northwest Ordinance merely divided western land
520,3,FCLE,SS.7.CG.1.7,SS.7.CG.1.7,draft+review-confirmed,CONFIRM,Clarifies Congress could not enforce laws under Articles.,Relates to enforcement weaknesses of the Articles.,The Confederation Congress could enforce its own laws
521,3,FCLE,SS.7.CG.1.9,SS.7.CG.1.9,reviewer-accepted,DISPUTE-then-replacement,Explains Commerce Clause limits on federal economic power.,"Commerce Clause is about federal power, not limiting it.",The Commerce Clause granted Congress unlimited power to regulate all economic activity nationwide.
522,3,FCLE,SS.7.CG.1.9,SS.7.CG.1.9,reviewer-accepted,DISPUTE-then-replacement,Defines Necessary and Proper Clause as limited instrument.,"Necessary and Proper Clause expands power, it does not limit it.",The Necessary and Proper Clause is an independent grant of unlimited legislative power to Congress.
523,3,FCLE,SS.7.CG.1.9,SS.7.CG.1.9,reviewer-accepted,DISPUTE-then-replacement,Explains implied powers as constitutional federal authority.,"Discusses expansion of power, not the mechanism of limiting it.",Implied powers represent unconstitutional federal overreach beyond the Framers' original design.
524,3,FCLE,SS.7.CG.1.9,SS.7.CG.1.9,reviewer-accepted,DISPUTE-then-replacement,Clarifies Supremacy Clause limits federal power scope.,"Supremacy Clause defines federal authority, not the limitation of it.",The Supremacy Clause makes all federal laws automatically supreme over state laws in every area.
525,3,FCLE,SS.7.CG.1.9,SS.7.CG.1.9,reviewer-accepted,DISPUTE-then-replacement,Explains Article V design balances stability and adaptability.,Amendment process is not listed under the limits of power.,Article V's difficult amendment process was an unintentional design flaw causing harmful rigidity.
526,3,FCLE,SS.7.CG.1.6,SS.7.CG.1.10,reviewer-accepted,DISPUTE-then-replacement,Clarifies 'We the People' sovereignty vs direct democracy.,"Relates to ratification debates, not Declaration of Independence grievances.",'We the People' meant the Constitution was ratified through direct democratic popular vote.
527,3,FCLE,SS.7.CG.1.8,SS.7.CG.1.8,draft+review-confirmed,CONFIRM,Explains Preamble significance for constitutional interpretation.,Directly addresses the purpose of the Preamble.,The Preamble is purely decorative with no significance for constitutional interpretation or meaning.
528,3,FCLE,SS.7.CG.1.9,SS.7.CG.1.9,reviewer-accepted,DISPUTE-then-replacement,Explains federalism balance preserves state sovereignty.,"Discusses federalism/sovereignty, not specific constitutional limits listed.",The Necessary and Proper Clause and Supremacy Clause together eliminate state sovereignty completely.
529,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Explains Madison's view on factions and liberty.,Relates to Madisonian principles of government.,Madison sought to eliminate factions through government regulation
530,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Explains Madison's theory on large republics controlling factions.,Relates to Madisonian principles of government.,Madison believed small republics better control factional violence
531,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Explains Madison's rejection of pure democracy.,Relates to Madisonian principles of government.,Fed 10 advocates pure democracy for authentic popular rule
532,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Explains representative filtering vs mirroring constituents.,Relates to Madisonian principles of government.,Representatives should directly mirror their constituents' views
533,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Explains factions inherent in human nature and liberty.,Relates to Madisonian principles of government.,Fed 10 assumes social unity can overcome factional division
534,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Explains pluralism relies on faction competition.,Relates to Madisonian principles of government.,Madison's pluralism expects factions to cooperate for common good
535,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Addresses founding principles of factions and extended republic.,Relates to foundational principles of republicanism and factionalism.,The extended republic requires cultural homogeneity to function
536,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Addresses founding principles of representation and popular will.,Relates to foundational principles of representation and republicanism.,Fed 10's representation amplifies popular will in governance
537,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Addresses founding principles of human nature and institutional design.,Relates to foundational principles of institutional design and human nature.,"""Ambition counteracts ambition"" means leaders must be virtuous"
538,3,FCLE,SS.7.CG.1.9,SS.7.CG.1.9,draft+review-confirmed,CONFIRM,Explains how Constitution limits power via separation and checks.,Directly addresses definitions of separation of powers and checks/balances.,Separation of powers and checks and balances are identical concepts
539,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Addresses founding principles of federalism and compound republic.,Relates to the principle of federalism in founding ideas.,The compound republic means federal government controls the states
540,3,FCLE,SS.7.CG.1.9,SS.7.CG.1.9,draft+review-confirmed,CONFIRM,Explains how Constitution limits power while maintaining strength.,Relates to how the Constitution limits government power.,Federalist 51 advocates limiting government power by keeping it weak
541,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Addresses founding principles of human nature and government necessity.,Relates to the philosophical principles underlying founding ideas.,Madison's institutional design assumes human nature is generally good
542,3,FCLE,SS.7.CG.1.9,SS.7.CG.1.9,draft+review-confirmed,CONFIRM,Explains how Constitution limits power via checks and balances.,Directly addresses the mechanism of checks and balances.,Checks and balances requires each branch to have exactly equal power
543,3,FCLE,SS.7.CG.1.9,SS.7.CG.1.9,draft+review-confirmed,CONFIRM,Explains how Constitution limits power via federalism and separation.,Relates to the structural application of checks and balances.,"Federalist 51's ""double security"" refers only to bicameralism"
544,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Addresses founding principles of popular sovereignty and civic participation.,Relates to foundational principles of popular sovereignty and governance.,Madison believed institutions alone prevent tyranny without civic participation
545,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.10,draft+review-confirmed,CONFIRM,Compares Anti-Federalist views on republic size and virtue.,Compares Federalist and Anti-Federalist viewpoints on political theory.,Anti-Federalists lacked coherent political theory
546,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.10,draft+review-confirmed,CONFIRM,Compares Anti-Federalist views on judicial tyranny and structure.,Relates to Anti-Federalist concerns regarding the Constitution.,Brutus feared presidential tyranny most
547,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.10,draft+review-confirmed,CONFIRM,Compares Anti-Federalist views on Bill of Rights necessity.,Relates to Anti-Federalist views on the Bill of Rights.,Anti-Federalists opposed adding a Bill of Rights
548,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.10,draft+review-confirmed,CONFIRM,Compares Anti-Federalist views on standing armies and tyranny.,Relates to Anti-Federalist arguments regarding federal power.,Standing army concerns were about wartime only
549,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.10,draft+review-confirmed,CONFIRM,Compares Anti-Federalist views on large republics and virtue.,Compares Federalist and Anti-Federalist views on republic size.,Cato and Centinel supported Madison's large republic theory
550,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.10,draft+review-confirmed,CONFIRM,Compares Anti-Federalist views on state sovereignty and consolidation.,Relates to Anti-Federalist views on state sovereignty.,Anti-Federalists wanted states abolished for national unity
551,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.10,draft+review-confirmed,CONFIRM,Compares Anti-Federalist views on judicial review and tyranny.,Relates to Anti-Federalist views on judicial power.,Brutus supported judicial review as democratic check
552,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.10,draft+review-confirmed,CONFIRM,"Compares Anti-Federalist views on diversity, factions, and virtue.",Compares Federalist and Anti-Federalist views on factionalism.,Anti-Federalists agreed diversity controls factions
553,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Addresses founding principles of Electoral College rationale.,Relates to the principles behind founding institutional design.,Electoral College designed primarily to protect slaveholding interests
554,3,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Addresses founding principles of Federalist Papers as persuasion.,Relates to the context of America's founding ideas.,"The Federalist Papers are objective, dispassionate political theory"
595,4,FCLE,SS.7.CG.3.8,SS.7.CG.3.8,draft+review-confirmed,CONFIRM,Misconception concerns executive branch authority and limits.,Relates to executive power and constitutional limits.,Executive orders have the same constitutional authority as congressional legislation.
596,4,FCLE,SS.7.CG.3.11,SS.7.CG.3.11,draft+review-confirmed,CONFIRM,Misconception concerns Supreme Court decisions on New Deal.,Relates to landmark Supreme Court decisions.,The Supreme Court immediately upheld FDR's expansion of federal commerce power.
597,4,FCLE,SS.7.CG.3.11,SS.7.CG.3.11,draft+review-confirmed,CONFIRM,Misconception concerns Supreme Court decisions on internment.,Relates to landmark Supreme Court decisions.,The Supreme Court overturned Korematsu shortly after World War II ended.
598,4,FCLE,SS.7.CG.3.8,SS.7.CG.3.8,draft+review-confirmed,CONFIRM,Misconception concerns executive branch war powers.,Relates to executive branch functions and powers.,The War Powers Resolution requires congressional approval before deploying troops abroad.
599,4,FCLE,SS.7.CG.2.4,SS.7.CG.3.11,reviewer-accepted,DISPUTE-then-replacement,Misconception concerns constitutional sources for federal programs.,Relates to constitutional interpretation and judicial review.,Great Society programs relied on the same Commerce Clause basis as New Deal laws.
600,4,FCLE,SS.7.CG.3.11,SS.7.CG.3.11,draft+review-confirmed,CONFIRM,Misconception concerns Supreme Court and FDR court-packing.,Relates to landmark Supreme Court decisions.,FDR's court-packing plan passed and expanded the Supreme Court to fifteen justices.
601,4,FCLE,SS.7.CG.3.11,SS.7.CG.3.11,draft+review-confirmed,CONFIRM,Misconception concerns Supreme Court decision on Social Security.,Relates to landmark Supreme Court decisions.,The Supreme Court upheld Social Security under Congress's commerce power.
602,4,FCLE,SS.7.CG.3.11,SS.7.CG.3.11,draft+review-confirmed,CONFIRM,Misconception concerns Supreme Court decision on internment.,Relates to landmark Supreme Court decisions.,Japanese internment was solely FDR's action through Executive Order 9066—Congress never authorized it.
603,4,FCLE,SS.7.CG.2.4,SS.7.CG.2.4,draft+review-confirmed,CONFIRM,Misconception concerns constitutional basis for Civil Rights Act.,Relates to constitutional safeguards of rights.,The Civil Rights Act of 1964 relied exclusively on the Fourteenth Amendment for constitutional authority.
604,4,FCLE,SS.7.CG.3.8,SS.7.CG.3.8,draft+review-confirmed,CONFIRM,Misconception concerns executive branch treaty powers.,Relates to executive branch processes.,Executive agreements allow presidents to completely bypass Senate treaty ratification requirements.
615,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Explains how interest groups influence government via collective action.,Directly addresses the impact and organization of interest groups.,Olson's logic of collective action means large interest groups are more powerful because they have more members.
616,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.8,reviewer-accepted,DISPUTE-then-replacement,Distinguishes types of polarization in political communications.,"Polarization is a political phenomenon, not media bias or propaganda.",Affective polarization and ideological polarization are the same — hating the other party means you disagree.
617,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.8,reviewer-accepted,DISPUTE-then-replacement,Analyzes how elite polarization influences mass political views.,"Relates to political behavior and party sorting, not media analysis.",Elite polarization causes mass polarization — ordinary Americans adopt extreme positions from politicians.
618,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.8,reviewer-accepted,DISPUTE-then-replacement,Examines how media narratives shape public opinion over time.,"Relates to party realignment, not media communications.",Critical elections cause party realignment because a single dramatic event changes everyone's party loyalty at once.
619,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.8,reviewer-accepted,DISPUTE-then-replacement,Analyzes different models of party realignment in media.,"Relates to political science theories of realignment, not media.",Secular realignment and critical realignment are the same process described by different scholars.
620,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.9,draft+review-confirmed,CONFIRM,Distinguishes distinct media effects on public opinion.,These are specific methods of media communication and influence.,"Agenda-setting, priming, and framing are three names for the same media effect on public opinion."
621,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.9,draft+review-confirmed,CONFIRM,Explains the role of media gatekeeping in information flow.,Relates to how media selects and communicates information.,Gatekeeping in media means journalists secretly decide what information the public should and shouldn't know.
622,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.9,draft+review-confirmed,CONFIRM,Clarifies how media data like polls influences public understanding.,Relates to analyzing political communications and data accuracy.,A poll's margin of error of ±3% means 97% of the time the poll result is correct.
623,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.9,draft+review-confirmed,CONFIRM,Identifies deceptive media tactics used in political campaigns.,Push polls are examples of biased political communication.,Push polls are just regular opinion polls that happen to have biased questions.
624,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.9,draft+review-confirmed,CONFIRM,Evaluates the validity of polling data and media claims.,Relates to polling bias and political communication accuracy.,The Bradley effect proves that white voters still lie to pollsters about supporting minority candidates.
625,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Examines the specific process of direct democracy initiatives.,Directly concerns state-level voting and initiative processes.,Initiatives in all states work the same way — any citizen can put any measure on the ballot by collecting signatures.
626,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Examines the election process and recall mechanisms.,Directly concerns the election and voting process.,Recall elections are a progressive-era reform that gives voters ultimate control over corrupt officials.
627,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Examines the specific process of referendums in elections.,Directly concerns the election and voting process.,Referendums always allow citizens to reject laws passed by the legislature.
628,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Examines voter registration rules and election administration.,Relates to voter registration and election administration laws.,Husted v. Randolph Institute (2018) ruled that states can purge voters from rolls for any reason.
629,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Examines voter ID laws and election administration processes.,Relates to voter ID laws and election processes.,Crawford v. Marion County (2008) upheld voter ID laws because the Court found widespread in-person fraud.
630,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Analyzes competing models of interest group influence.,Relates to how interest groups influence government.,"The pluralist, elite, and hyperpluralist models are mutually exclusive — only one accurately describes America."
631,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Analyzes how competing interest groups impact government.,Relates to the impact of competing interest groups.,Hyperpluralism is just pluralism with more groups — more participation means better democracy.
632,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Explains how interest groups overcome collective action problems.,Relates to the organization and impact of interest groups.,The collective action problem only affects large public interest groups — business groups don't face it.
633,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,reviewer-accepted,DISPUTE-then-replacement,Analyzes citizen beliefs about government responsiveness.,"Efficacy is a psychological concept, not media or group impact.",Political efficacy means believing the government always does the right thing.
634,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Explains rational choice theory regarding interest group membership.,Relates to the behavior and impact of interest groups.,Rational choice theory explains that people join interest groups because they want to change policy.
635,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,reviewer-accepted,DISPUTE-then-replacement,Misconception about how political parties and elections function.,"Party realignment concerns political parties, not the voting process itself.",A party realignment means one party collapses and a completely new party takes its place.
636,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Misconception about natural rights and founding principles of government.,Relates directly to Enlightenment principles and founding ideas.,"Natural rights mean the government must provide citizens with food, shelter, and healthcare."
637,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Misconception about political philosophy underlying founding ideas.,Relates to foundational political philosophy and principles.,Hobbes' Leviathan was a proposal for actual government — he wanted a real nation with one absolute ruler.
638,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Misconception about interest groups influencing government.,Describes how interest groups and agencies influence government.,"Issue networks and iron triangles are the same — both describe how agencies, Congress, and interest groups collaborate."
639,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,reviewer-accepted,DISPUTE-then-replacement,Misconception about social capital and civic engagement.,"Social capital is a sociological concept, not an influence on government.",Social capital only means having connections to powerful people who can help you politically.
640,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.9,reviewer-accepted,DISPUTE-then-replacement,Misconception about media influence and polling.,"Bandwagon effect is a psychological phenomenon, not media bias/propaganda.",The bandwagon effect in polling means polls are unreliable and should be ignored during elections.
641,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.9,reviewer-accepted,DISPUTE-then-replacement,Misconception about media methods and polling accuracy.,"RDD is a polling methodology, not media communication analysis.",Random digit dialing (RDD) in polling means calling people randomly from the phone book.
642,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,reviewer-accepted,DISPUTE-then-replacement,Misconception about agents of political socialization.,"Religion is an agent of socialization, not an interest group.",Religious affiliation is the weakest agent of political socialization in modern America.
643,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,reviewer-accepted,DISPUTE-then-replacement,Misconception about political socialization and generational effects.,"Generational effects are sociological, not media or interest group impacts.",Generational replacement means younger voters always support more liberal candidates than older voters.
644,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,reviewer-accepted,DISPUTE-then-replacement,Misconception about how political parties function in elections.,"Relates to party structure and organization, not the voting process.","The responsible party model means parties should be disciplined like parliamentary parties, voting as unified blocs."
645,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Misconception about interest groups influencing government.,Directly addresses the impact of interest groups on monitoring government.,Interest group ratings of legislators are objective measures of how liberal or conservative a member of Congress is.
646,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,reviewer-accepted,DISPUTE-then-replacement,Misconception about direct democracy and voting processes.,"Relates to forms of democracy, not the election process.","Direct democracy makes legislatures unnecessary — if citizens can vote on laws directly, representation is redundant."
647,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.9,draft+review-confirmed,CONFIRM,Misconception about media freedom and bias.,Relates to analyzing media communications and bias.,The First Amendment press freedom clause means media have a constitutional duty to report fairly and accurately.
648,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Misconception about voting rights and suffrage history.,Relates to the history of suffrage and voting rights.,Suffrage expansion in America followed a clear progressive trajectory — each amendment added more groups to voter rolls.
649,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,reviewer-accepted,DISPUTE-then-replacement,Misconception about voting patterns and political participation.,"Gender gap is a demographic voting trend, not the process.",The gender gap in voting means women always vote Democratic and men always vote Republican.
650,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,reviewer-accepted,DISPUTE-then-replacement,Misconception about how elections and parties work.,"Relates to electoral systems and party competition, not voting process.",Third parties in America fail because the two major parties conspire to keep them off ballots.
651,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,reviewer-accepted,DISPUTE-then-replacement,Misconception about electoral systems and voting.,"Relates to electoral system theory, not the voting process.",Duverger's Law is a legal rule that prevents third parties from appearing on ballots in the United States.
652,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Misconception about origins of popular sovereignty.,Relates to the principles underlying founding ideas.,Popular sovereignty originated with the American Founders as a completely original democratic idea.
653,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Misconception about interest groups and lobbying.,Relates to how individuals and interest groups influence government.,Grassroots lobbying is less effective than inside lobbying because ordinary citizens can't influence policymakers.
654,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Misconception about forms of political participation.,Relates to the broader definition of political participation/voting.,"Political participation only means voting — if you don't vote, you're not participating in democracy."
655,2,FCLE,SS.7.CG.3.9,SS.7.CG.3.9,draft+review-confirmed,CONFIRM,Misconception concerns judicial philosophy and judicial branch function.,Relates to judicial philosophy and interpretation processes.,Originalism and textualism are the same judicial philosophy — both mean judges should read the Constitution literally.
656,2,FCLE,SS.7.CG.3.9,SS.7.CG.3.9,draft+review-confirmed,CONFIRM,Misconception concerns judicial philosophy and judicial branch function.,Relates to judicial interpretation of constitutional principles.,Living constitutionalism means judges can make up whatever rights they think society needs.
